2018-08-16 23:24:46,214''com.jlcindia.log4j.DomTest1''DEBUG''DomTest1''main''This is TEST MAIL''com.jlcindia.log4j.DomTest1.main(DomTest1.java:12)'
'2018-10-29 18:19:34,342''com.jlcindia.log4j.Test2''INFO''Test2''main''- Main Method Started--''com.jlcindia.log4j.Test2.main(Test2.java:14)''
''2018-10-29 18:19:34,345''com.jlcindia.log4j.Test2''DEBUG''Test2''main''Values as CLA :2''com.jlcindia.log4j.Test2.main(Test2.java:15)''
''2018-10-29 18:19:36,346''com.jlcindia.log4j.Test2''DEBUG''Test2''main''lst Value in Main:12''com.jlcindia.log4j.Test2.main(Test2.java:26)''
''2018-10-29 18:19:36,346''com.jlcindia.log4j.Test2''DEBUG''Test2''main''2nd Value in Main : 12''com.jlcindia.log4j.Test2.main(Test2.java:27)''
''2018-10-29 18:19:36,349''com.jlcindia.log4j.Test2''INFO''Test2''main''Creating JkOperator object''com.jlcindia.log4j.Test2.main(Test2.java:28)''
''2018-10-29 18:19:36,352''com.jlcindia.log4j.Test2''INFO''Test2''main''JlcOperator object created''com.jlcindia.log4j.Test2.main(Test2.java:30)''
''2018-10-29 18:19:36,353''com.jlcindia.log4j.Test2''INFO''Test2''main''lnvoking the getRemainder O from JlcOperator''com.jlcindia.log4j.Test2.main(Test2.java:31)''
''2018-10-29 18:19:36,353''com.jlcindia.log4j.JlcOperator''INFO''com.jlcindia.log4j.JlcOperator''getRemainder''- getRemainder invoked -''com.jlcindia.log4j.JlcOperator.getRemainder(JlcOperator.java:6)''
''2018-10-29 18:19:36,361''com.jlcindia.log4j.JlcOperator''DEBUG''com.jlcindia.log4j.JlcOperator''getRemainder''Values :12	12''com.jlcindia.log4j.JlcOperator.getRemainder(JlcOperator.java:7)''
''2018-10-29 18:19:36,361''com.jlcindia.log4j.JlcOperator''DEBUG''com.jlcindia.log4j.JlcOperator''getRemainder''lst int values:12''com.jlcindia.log4j.JlcOperator.getRemainder(JlcOperator.java:11)''
''2018-10-29 18:19:36,362''com.jlcindia.log4j.JlcOperator''DEBUG''com.jlcindia.log4j.JlcOperator''getRemainder''2nd int values : 12''com.jlcindia.log4j.JlcOperator.getRemainder(JlcOperator.java:13)''
''2018-10-29 18:19:36,362''com.jlcindia.log4j.JlcOperator''INFO''com.jlcindia.log4j.JlcOperator''getRemainder'' Calculating remainder''com.jlcindia.log4j.JlcOperator.getRemainder(JlcOperator.java:14)''
''2018-10-29 18:19:36,362''com.jlcindia.log4j.JlcOperator''INFO''com.jlcindia.log4j.JlcOperator''getRemainder''Remainder Calculated ''com.jlcindia.log4j.JlcOperator.getRemainder(JlcOperator.java:16)''
''2018-10-29 18:19:36,363''com.jlcindia.log4j.JlcOperator''DEBUG''com.jlcindia.log4j.JlcOperator''getRemainder''Calculated Remainder:0''com.jlcindia.log4j.JlcOperator.getRemainder(JlcOperator.java:19)''
''2018-10-29 18:19:36,364''com.jlcindia.log4j.JlcOperator''INFO''com.jlcindia.log4j.JlcOperator''getRemainder''Returning Remainder:''com.jlcindia.log4j.JlcOperator.getRemainder(JlcOperator.java:20)''
''2018-10-29 18:19:36,365''com.jlcindia.log4j.Test2''INFO''Test2''main''- Main Method·.completed --''com.jlcindia.log4j.Test2.main(Test2.java:34)''
'
